Name,Level,School,Casting Time,Ritual,Duration,Concentration,Range (feet),Area (feet),Area Type,Attack/ Save,Damage/Effect,V,S,M,Materials,Consumed,Spell Tags,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Source,Details,Link,
Antimagic Field,8,Abjuration,1 Action,FALSE,2 Hour,TRUE,Self,10,Sphere,,Control,TRUE,TRUE,TRUE,Iron Filings,FALSE,"Control, Negation, Warding",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"An aura of antimagic surrounds you in 10-foot Emanation. No one can cast spells, take Magic actions, or create other magical effects inside the aura, and those things can’t target or otherwise affect anything inside it. Magical properties of magic items don’t work inside the aura or on anything inside it. Areas of effect created by spells or other magic can’t extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura. Ongoing spells, except those cast by an Artifact or a deity, are suppressed in the area. While an effect is suppressed, it doesn’t function, but the time it spends suppressed counts against its duration. Dispel Magic has no effect on the aura, and the auras created by different Antimagic Field spells don’t nullify each other.",https://www.dndbeyond.com/spells/2618860-antimagic-field,
Antipathy/Sympathy,8,Enchantment,1 Hour,FALSE,10 Hours,FALSE,60,,,Wisdom,Frightened,TRUE,TRUE,TRUE,Mix of Vinegar and Honey,FALSE,"Control, Warding",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"As you cast the spell, choose whether it creates antipathy or sympathy, and target one creature or object that is Huge or smaller. Then specify a kind of creature, such as red dragons, goblins, or vampires. A creature of the chosen kind makes a Wisdom saving throw when it comes within 120 feet of the target. Your choice of antipathy or sympathy determines what happens to a creature when it fails that save: Antipathy. The creature has the Frightened condition. The Frightened creature must use its movement on its turns to get as far away as possible from the target, moving by the safest route. Sympathy. The creature has the Charmed condition. The Charmed creature must use its movement on its turns to get as close as possible to the target, moving by the safest route. If the creature is within 5 feet of the target, the creature can’t willingly move away. If the target damages the Charmed creature, that creature can make a Wisdom saving throw to end the effect, as described below. Ending the Effect. If the Frightened or Charmed creature ends its turn more than 120 feet away from the target, the creature makes a Wisdom saving throw. On a successful save, the creature is no longer affected by the target. A creature that successfully saves against this effect is immune to it for 1 minute, after which it can be affected again.",https://www.dndbeyond.com/spells/2618862-antipathy-sympathy,
Arcane Eye,4,Divination,1 Action,FALSE,1 Hour,TRUE,30,,,,Detection,TRUE,TRUE,TRUE,Bit of Bat Fur,FALSE,Detection,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You create an Invisible, invulnerable eye within range that hovers for the duration. You mentally receive visual information from the eye, which can see in every direction. It also has Darkvision with a range of 30 feet. As a Bonus Action, you can move the eye up to 30 feet in any direction. A solid barrier blocks the eye’s movement, but the eye can pass through an opening as small as 1 inch in diameter.",https://www.dndbeyond.com/spells/2618863-arcane-eye,
Arcane Gate,6,Conjuration,1 Action,FALSE,10 Minutes,TRUE,500,,,,Teleportation,TRUE,TRUE,FALSE,,FALSE,Teleportation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"You create linked teleportation portals. Choose two Large, unoccupied spaces on the ground that you can see, one space within range and the other one within 10 feet of you. A circular portal opens in each of those spaces and remains for the duration. The portals are two-dimensional glowing rings filled with mist that blocks sight. They hover inches from the ground and are perpendicular to it. A portal is open on only one side (you choose which). Anything entering the open side of a portal exits from the open side of the other portal as if the two were adjacent to each other. As a Bonus Action, you can change the facing of the open sides.",https://www.dndbeyond.com/spells/2618865-arcane-gate,
Arcane Lock,2,Abjuration,1 Action,FALSE,Until Dispelled,FALSE,Touch,,,,Utility,TRUE,TRUE,TRUE,Gold Dust Worth 15+ GP,TRUE,"Utility, Warding",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You touch a closed door, window, gate, container, or hatch and magically lock it for the duration. This lock can’t be unlocked by any nonmagical means. You and any creatures you designate when you cast the spell can open and close the object despite the lock. You can also set a password that, when spoken within 5 feet of the object, unlocks it for 1 minute.",https://www.dndbeyond.com/spells/2618868-arcane-lock,
Arcane Vigor,2,Abjuration,1 Bonus Action,FALSE,Instantaneous,FALSE,Self,,,,,TRUE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You tap into your life force to heal yourself. Roll one or two of your unexpended Hit Point Dice, and regain a number of Hit Points equal to the roll’s total plus your spellcasting ability modifier. Those dice are then expended. Using a Higher-Level Spell Slot. The number of unexpended Hit Dice you can roll increases by one for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618831-arcane-vigor,
Armor of Agathys,1,Abjuration,1 Bonus Action,FALSE,1 Hour,FALSE,Self,,,,Cold,TRUE,TRUE,TRUE,Shard of Blue Grass,FALSE,"Damage, Buff, Warding",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PHB 2024,"Protective magical frost surrounds you. You gain 5 Temporary Hit Points. If a creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage. The spell ends early if you have no Temporary Hit Points. Using a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618870-armor-of-agathys,
Arms of Hadar,1,Conjuration,1 Action,FALSE,Instantaneous,FALSE,Self,10,Sphere,Strength,Necrotic,TRUE,TRUE,FALSE,,FALSE,"Damage, Control",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PHB 2024,"Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can’t take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618871-arms-of-hadar,
Astral Projection,9,Necromancy,1 Hour,FALSE,Until Dispelled,FALSE,10,,,,Teleportation,TRUE,TRUE,TRUE,"For each of the spells targets: One Jacinth worth 1,000+ GP",TRUE,Teleportation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PHB 2024,"You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell ends instantly if you are already on that plane). Each target’s body is left behind in a state of suspended animation; it has the Unconscious condition, doesn’t need food or air, and doesn’t age. A target’s astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between the shoulder blades of the astral form. The cord fades from view after 1 foot. If the cord is cut—which happens only when an effect states that it does so—the target’s body and astral form both die. A target’s astral form can travel through the Astral Plane. The moment an astral form leaves that plane, the target’s body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane. Any damage or other effects that apply to an astral form have no effect on the target’s body and vice versa. If a target’s body or astral form drops to 0 Hit Points, the spell ends for that target. The spell ends for all the targets if you take a Magic action to dismiss it. When the spell ends for a target who isn’t dead, the target reappears in its body and exits the state of suspended animation.",https://www.dndbeyond.com/spells/2618878-astral-projection,
Augury,2,Divination,1 Minute,FALSE,Instantaneous,FALSE,Self,,,,Foreknowledge,TRUE,TRUE,TRUE,"Specially Marked Sticks, Bones, Cards, or other divinatory tokens worth 25+ GP",FALSE,Foreknowledge,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You receive an omen from an otherworldly entity about the results of a course of action that you plan to take within the next 30 minutes. The DM chooses the omen from the Omens table. The spell doesn’t account for circumstances, such as other spells, that might change the results. If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",https://www.dndbeyond.com/spells/2618882-augury,
Aura of Life,4,Abjuration,1 Action,FALSE,10 Minutes,TRUE,Self,30,Sphere,,Healing,TRUE,FALSE,FALSE,,FALSE,"Healing, Warding",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point maximums can’t be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.",https://www.dndbeyond.com/spells/2618884-aura-of-life,
Aura of Purity,4,Abjuration,1 Action,FALSE,10 Minutes,TRUE,Self,30,Sphere,,Buff,TRUE,FALSE,FALSE,,FALSE,"Buff, Warding",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded, Charmed, Deafened, Frightened, Paralyzed, Poisoned, or Stunned condition.",https://www.dndbeyond.com/spells/2618888-aura-of-purity,
Aura of Vitality,3,Abjuration,1 Action,FALSE,1 Minute,TRUE,Self,30,Sphere,,Healing,TRUE,FALSE,FALSE,,FALSE,Healing,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",https://www.dndbeyond.com/spells/2618891-aura-of-vitality,
Awaken,5,Transmutation,8 Hours,FALSE,Instantaneous,FALSE,Touch,,,,Charmed,TRUE,TRUE,TRUE,"Agate worth 1,000 GP",TRUE,Creation,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You spend the casting time tracing magical pathways within a precious gemstone, and then touch the target. The target must be either a Beast or Plant creature with an Intelligence of 3 or less or a natural plant that isn’t a creature. The target gains an Intelligence of 10 and the ability to speak one language you know. If the target is a natural plant, it becomes a Plant creature and gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human’s. The DM chooses statistics appropriate for the awakened Plant, such as the statistics for the Awakened Shrub or Awakened Tree in the Monster Manual. The awakened target has the Charmed condition for 30 days or until you or your allies deal damage to it. When that condition ends, the awakened creature chooses its attitude toward you.",https://www.dndbeyond.com/spells/2618897-awaken,
Bane,1,Enchantment,1 Action,FALSE,1 Minute,TRUE,30,,,Charisma,Debuff,TRUE,TRUE,TRUE,Drop of blood,FALSE,Debuff,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PHB 2024,"Up to three creatures of your choice that you can see within range must each make a Charisma saving throw. Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618900-bane,
Banishing Smite,5,Conjuration,1 Bonus Action,FALSE,1 Minute,TRUE,Self,,,Charisma,Force,TRUE,FALSE,FALSE,,FALSE,"Damage, Control, Banishment",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"The target hit by the attack roll takes an extra 5d10 Force damage from the attack. If the attack reduces the target to 50 Hit Points or fewer, the target must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. * - which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike",https://www.dndbeyond.com/spells/2618904-banishing-smite,
Banishment,4,Abjuration,1 Action,FALSE,1 Minute,TRUE,30,,,Charisma,Banishment,TRUE,TRUE,TRUE,Pencil,FALSE,"Control, Banishment",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. If the target is an Aberration, a Celestial, an Elemental, a Fey, or a Fiend, the target doesn’t return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM’s choice) associated with its creature type. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.",https://www.dndbeyond.com/spells/2618906-banishment,
Barkskin,2,Transmutation,1 Bonus Action,FALSE,1 Hour,FALSE,Touch,,,,Buff,TRUE,TRUE,TRUE,Handful of Oak Bark,FALSE,"Buff, Warding",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"You touch a willing creature. Until the spell ends, the target’s skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.",https://www.dndbeyond.com/spells/2618907-barkskin,
Beacon of Hope,3,Abjuration,1 Action,FALSE,1 Minute,TRUE,30,,,,Buff,TRUE,TRUE,FALSE,,FALSE,Buff,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",https://www.dndbeyond.com/spells/2618911-beacon-of-hope,
Beast Sense,2,Divination,1 Action,FALSE,1 Hour,TRUE,Touch,,,,Detection,FALSE,TRUE,FALSE,,FALSE,Detection,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"You touch a willing Beast. For the duration, you can perceive through the Beast’s senses as well as your own. When perceiving through the Beast’s senses, you benefit from any special senses it has.",https://www.dndbeyond.com/spells/2618914-beast-sense,
Befuddlement,8,Enchantment,1 Action,FALSE,Instantaneous,FALSE,150,,,Intelligence,Psychic,TRUE,TRUE,TRUE,Key Ring with no keys,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,PHB 2024,"You blast the mind of a creature that you can see within range. The target makes an Intelligence saving throw. On a failed save, the target takes 10d12 Psychic damage and can’t cast spells or take the Magic action. At the end of every 30 days, the target repeats the save, ending the effect on a success. The effect can also be ended by the Greater Restoration, Heal, or Wish spell. On a successful save, the target takes half as much damage only.",https://www.dndbeyond.com/spells/2618832-befuddlement,
Bestow Curse,3,Necromancy,1 Action,FALSE,1 Minute,TRUE,Touch,,,Wisdom,Debuff,TRUE,TRUE,FALSE,,FALSE,Debuff,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice: Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability. The target has Disadvantage on attack rolls against you. In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn. If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage. Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn’t require Concentration, and the duration becomes 8 hours (level 5–6 slot) or 24 hours (level 7–8 slot). If you use a level 9 spell slot, the spell lasts until dispelled.",https://www.dndbeyond.com/spells/2618923-bestow-curse,
Bigby's Hand,5,Evocation,1 Action,FALSE,1 Minute,TRUE,120,,,,Force,TRUE,TRUE,TRUE,Eggshell and a Glove,FALSE,"Damage, Control",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You create a Large hand of shimmering magical energy in an unoccupied space that you can see within range. The hand lasts for the duration, and it moves at your command, mimicking the movements of your own hand. The hand is an object that has AC 20 and Hit Points equal to your Hit Point maximum. If it drops to 0 Hit Points, the spell ends. The hand doesn’t occupy its space. When you cast the spell and as a Bonus Action on your later turns, you can move the hand up to 60 feet and then cause one of the following effects: Clenched Fist. The hand strikes a target within 5 feet of it. Make a melee spell attack. On a hit, the target takes 5d8 Force damage. Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it. The target must succeed on a Strength saving throw, or the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target, remaining within 5 feet of it. Grasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. The target must succeed on a Dexterity saving throw, or the target has the Grappled condition, with an escape DC equal to your spell save DC. While the hand grapples the target, you can take a Bonus Action to cause the hand to crush it, dealing Bludgeoning damage to the target equal to 4d6 plus your spellcasting ability modifier. Interposing Hand. The hand grants you Half Cover against attacks and other effects that originate from its space or that pass through it. In addition, its space counts as Difficult Terrain for your enemies. Using a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.",https://www.dndbeyond.com/spells/2618928-bigbys-hand,
Blade Barrier,6,Evocation,1 Action,FALSE,10 Minutes,TRUE,90,,,Dexterity,Force,TRUE,TRUE,FALSE,,FALSE,"Damage, Control",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters Cover, and its space is Difficult Terrain. Any creature in the wall’s space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall’s space or ends it turn there. A creature makes that save only once per turn.",https://www.dndbeyond.com/spells/2618929-blade-barrier,
Blade Ward,Cantrip,Abjuration,1 Action,FALSE,1 Minute,TRUE,Self,,,,Combat,TRUE,TRUE,FALSE,,FALSE,"Combat, Warding",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.",https://www.dndbeyond.com/spells/2618931-blade-ward,
Bless,1,Enchantment,1 Action,FALSE,1 Minute,TRUE,30,,,,Buff,TRUE,TRUE,TRUE,Holy Symbol worth 5+ GP,FALSE,Buff,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4 to the attack roll or save. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618933-bless,
Blight,4,Necromancy,1 Action,FALSE,Instantaneous,FALSE,30,,,Constitution,Necrotic,TRUE,TRUE,FALSE,,FALSE,Damage,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,PHB 2024,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save. Alternatively, target a nonmagical plant that isn’t a creature, such as a tree or shrub. It doesn’t make a save; it simply withers and dies. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2618934-blight,
